,company_brand,founded,headquarter,sector,about_company,founders,investor,amount,series,year
0,Unbox Robotics,2019,Bangalore,Artificial Intelligence,"Unbox Robotics builds on-demand AI-driven warehouse robotics solutions, which can be deployed using limited foot-print, time, and capital.","Pramod Ghadge, Shahid Memon",BEENEXT,1200000.0,early traction,2021-01-01
1,upGrad,2015,Mumbai,Education Technology,UpGrad is an online higher education platform.,"Mayank Kumar, Phalgun Kompalli, Ravijot Chugh, Ronnie Screwvala",Unilazer Ventures,120000000.0,others,2021-01-01
2,Lead School,2012,Mumbai,Education Technology,LEAD School offers technology based school transformation system that assures excellent learning for every child.,"Smita Deorah, Sumeet Mehta",GSV Ventures,30000000.0,early traction,2021-01-01
3,Bizongo,2015,Mumbai,Business-to-Business E-commerce,Bizongo is a business-to-business online marketplace for packaging products.,"Aniket Deb, Ankit Tomar, Sachin Agrawal",CDC Group,51000000.0,early traction,2021-01-01
4,FypMoney,2021,Gurgaon,Fintech,"FypMoney is Digital NEO Bank for Teenagers, empowering them with financial literacy and ease of secured financial transactions.",Kapil Banwari,Liberatha Kallat,2000000.0,validation,2021-01-01
5,Urban Company,2014,Delhi,Home Services,"Urban Company (Formerly UrbanClap) is a home and beauty services platform in India, Middle East, Singapore and Australia","Abhiraj Singh Bhal, Raghav Chandra, Varun Khaitan",Vy Capital,188000000.0,others,2021-01-01
6,Comofi Medtech,2018,Bangalore,Healthcare,Comofi Medtech is a healthcare robotics startup.,Gururaj KB,CIIE.CO,200000.0,others,2021-01-01
7,Qube Health,2016,Mumbai,Healthcare,India's Most Respected Workplace Healthcare Management Company,Gagan Kapur,Inflection Point Ventures,0.0,early traction,2021-01-01
8,Vitra.ai,2020,Bangalore,Technology Startup,Vitra.ai is an AI-based video translation platform,Akash Nidhi PS,Inflexor Ventures,0.0,others,2021-01-01
9,Taikee,2010,Mumbai,Business-to-Business E-commerce,"Taikee is the ISO-certified, B2B e-commerce platform of Peel-Works, enabling better lives for corner stores.","Nidhi Ramachandran, Sachin Chhabra",None,1000000.0,others,2021-01-01
